最新价,涨跌幅%,代码,名称,最高,最低,开盘,昨收,总市值,流通市值,主力净流入(万),超大单净流入(万),大单净流入(万),中单净流入(万),小单净流入(万),净流入占比%
70.22,9.99,002156,通富微电,70.22,66.18,67.69,63.84,106565655161.0,106555495029.0,135371.19,165832.56,-30461.37,-71620.6,-63750.59,26.18
4.87,9.93,000100,TCL科技,4.87,4.66,4.66,4.43,101300200117.0,93173007051.0,130172.5,145630.34,-15457.85,-72178.1,-57994.4,23.0
500.0,9.41,300394,天孚通信,510.99,488.0,501.0,457.0,389580390500.0,388798638000.0,101949.41,81809.13,20140.28,-101911.28,-38.12,8.25
499.94,5.32,603986,兆易创新,499.94,477.0,478.89,474.69,350509159353.0,333882322313.0,100613.03,90490.9,10122.13,-100529.37,-38.67,10.51
1273.43,6.85,300308,中际旭创,1275.0,1220.0,1220.0,1191.81,1419760084525.0,1413017447135.0,92694.18,57758.67,34935.51,-92657.48,-36.71,6.05
77.65,4.93,002475,立讯精密,77.76,74.81,75.0,74.0,565756828974.0,564459157393.0,83079.08,47342.86,35736.21,-44436.68,-38642.39,12.32
800.0,7.1,300502,新易盛,803.99,758.07,760.0,747.0,796718105600.0,709823785600.0,80477.67,85056.61,-4578.95,-80436.13,-41.55,7.0
230.35,7.08,002281,光迅科技,232.83,220.02,220.05,215.11,185817759473.0,179663821013.0,76866.57,74912.6,1953.96,-33130.22,-43736.35,11.36
60.19,7.85,600549,厦门钨业,60.68,55.58,55.85,55.81,95556790867.0,93531165876.0,55697.44,36902.73,18794.71,-28982.85,-26715.2,17.85
229.08,8.6,002384,东山精密,231.5,219.0,219.6,210.93,419584653431.0,317578580305.0,52259.96,21769.16,30490.79,-41763.06,-10496.9,5.29
38.22,5.29,000063,中兴通讯,38.3,36.78,36.8,36.3,182826703381.0,153935683487.0,51136.22,39045.56,12090.65,-21503.04,-29633.18,13.6
91.43,10.0,600487,亨通光电,91.43,88.12,90.0,83.12,225502244058.0,223562910259.0,48175.34,79696.99,-31521.64,-35296.86,-12873.0,9.03
20.08,10.03,001896,豫能控股,20.08,18.03,18.2,18.25,30637689106.0,30637689106.0,47354.2,57428.83,-10074.62,-22770.91,-24583.29,16.45
55.82,8.7,601208,东材科技,56.49,52.0,52.0,51.35,56388411878.0,56388411878.0,44028.16,51495.08,-7466.92,-27280.65,-16746.95,14.36
5.71,4.39,000725,京东方Ａ,5.76,5.54,5.58,5.47,211523113245.0,207510899681.0,39350.96,-747.89,40098.85,6758.67,-46109.63,5.56
362.0,3.7,300476,胜宏科技,364.5,347.88,349.08,349.08,355768102306.0,313200570090.0,37177.74,10828.07,26349.68,-11712.41,-25465.33,6.54
13.17,10.03,002171,楚江新材,13.17,12.13,12.13,11.97,21374091774.0,21252975160.0,34717.86,31338.65,3379.21,-13217.33,-21500.53,30.26
159.0,6.53,000988,华工科技,159.25,153.0,153.98,149.25,159874930413.0,159792719463.0,32836.94,21330.13,11506.81,-18275.0,-14561.93,6.38
257.81,8.78,688008,澜起科技,259.02,245.11,248.25,237.0,315095387414.0,295560221379.0,32625.6,40495.81,-7870.21,-30988.79,-1641.98,3.59
82.15,9.02,600584,长电科技,82.2,76.23,76.23,75.35,147000406926.0,147000406926.0,32556.65,-6581.55,39138.2,-13104.58,-19452.89,3.36
50.1,3.15,600111,北方稀土,50.35,47.88,48.15,48.57,181114798684.0,181114798684.0,30214.7,30879.13,-664.43,-14538.38,-15672.82,14.35
16.35,7.85,600703,三安光电,16.58,15.43,15.43,15.16,81570456186.0,81570456186.0,29234.92,24757.32,4477.6,-16611.41,-12627.6,12.65
43.62,10.01,601231,环旭电子,43.62,41.38,41.4,39.65,104212763502.0,104212763502.0,28967.84,38381.91,-9414.07,-18142.46,-10819.71,30.54
29.5,4.57,000938,紫光股份,29.55,28.67,28.67,28.21,84372356283.0,84372143883.0,28959.97,26189.04,2770.94,-13466.9,-15493.07,12.6
59.22,9.99,605358,立昂微,59.22,54.91,54.91,53.84,39758993908.0,39758993908.0,25442.73,24539.92,902.81,-21043.6,-4398.54,12.61
72.24,10.0,603119,浙江荣泰,72.24,66.24,66.5,65.67,34159404088.0,19146381312.0,25457.36,19472.38,5984.98,-15260.19,-10186.33,16.63
8.31,15.74,300088,长信科技,8.38,7.3,7.33,7.18,20756166041.0,20654524919.0,24346.84,16271.56,8075.28,-15348.54,-8998.3,11.61
687.03,12.44,688635,长进光子,688.66,620.0,628.0,611.0,64354100100.0,12199259875.0,23626.86,12038.81,11588.05,-23475.83,-157.9,12.66
6.35,10.05,600310,广西能源,6.35,5.98,5.98,5.77,9307263085.0,9307263085.0,23492.67,23812.2,-319.53,-10400.85,-13091.56,39.11
393.02,11.12,688048,长光华芯,393.26,366.58,366.58,353.7,69281543198.0,69281543198.0,21426.03,15996.23,5429.8,-20627.93,-837.41,8.11
137.69,3.93,688981,中芯国际,137.88,131.85,132.0,132.48,1103377273285.0,275319767372.0,20825.84,35003.16,-14177.33,-14312.56,-6520.17,5.44
250.02,6.57,300548,长芯博创,252.0,238.18,243.48,234.6,73669550093.0,68095979243.0,19940.36,13919.46,6020.9,-5584.79,-14355.57,8.58
52.84,6.75,600498,烽火通信,52.85,49.98,49.98,49.5,71765569749.0,67192477735.0,19390.4,6305.06,13085.34,-8336.14,-11060.61,9.48
5.07,9.98,600666,奥瑞德,5.07,4.9,4.9,4.61,13949838288.0,12686425073.0,19294.7,21235.21,-1940.51,-8745.92,-10548.79,57.43
81.81,2.25,601138,工业富联,82.19,78.43,79.95,80.01,1623445189754.0,1623445189754.0,18826.04,-19082.84,37908.88,-16323.25,-2504.42,2.08
67.01,3.09,000977,浪潮信息,67.01,63.52,63.8,65.0,98402620652.0,98292399186.0,20043.99,13320.63,6723.36,-9966.79,-10077.19,9.46
47.38,10.01,603938,三孚股份,47.38,43.55,43.67,43.07,18128748668.0,18128748668.0,18066.13,16844.66,1221.47,-8174.49,-9891.64,26.47
69.75,4.87,000657,中钨高新,70.66,65.11,65.89,66.51,158932656900.0,101341542605.0,17963.63,3949.88,14013.75,-4154.01,-13809.62,9.23
246.01,8.61,688347,华虹公司,246.33,221.58,226.3,226.5,427475018805.0,100310577500.0,17243.62,16132.93,1110.69,-16636.56,-611.98,6.13
13.86,10.0,601609,金田股份,13.86,12.58,12.61,12.6,23958925355.0,23958925355.0,16635.1,17749.55,-1114.45,-6175.9,-10459.21,24.88
73.95,3.89,001280,中国铀业,75.93,72.08,72.34,71.18,152942045441.0,12847131838.0,16188.61,6953.15,9235.45,-4980.63,-11207.98,19.21
52.19,4.53,000831,中国稀土,52.65,49.2,49.8,49.93,55385113917.0,55385113917.0,16032.77,13580.09,2452.68,-4966.37,-11066.4,15.82
16.92,8.32,600246,万通发展,17.17,16.01,16.5,15.62,32875348094.0,31985779094.0,14249.87,10221.59,4028.28,-4963.15,-9287.23,8.27
